Line Number,"Holdings Barcode","Call Number","Title","Author's Name","Copyright","Publication Date","Series Title","Series Volume"
281,"B000465","","Sword Art Online 24 : Unital Ring III","Kawahara, Reki","c2022.","2022.","",""
282,"B000341","","Schindler's list","Keneally, Thomas","c1993.","1993.","",""
283,"B000414","","The C Programming Language","Kernighan, Brian W.","c1988.","1988.","",""
284,"B000293","","Flowers for Algernon","Keyes, Daniel","c2004.","2004.","",""
285,"B000184","","Are We Living in the Last Days? : The Second Coming of Jesus Christ and Interpreting the Book of Revelation","Killens, Chauncey S.","c2023.","2023.","",""
286,"B000543","","The Dark Tower (The Dark Tower, Book 7)","King, Stephen","c2006., c29.","August.","",""
287,"B000399","","Finding Audrey","Kinsella, Sophie","c2016.","2016.","",""
288,"B000263","","Patterns for College Writing : A Rhetorical Reader and Guide","Kirszner, Laurie G.","c01., c2020.","Oct.","",""
289,"B000057","","Boruto : Naruto Next Generations, Vol. 16","Kishimoto, Masashi","c2023.","2023.","Boruto : Naruto Next Generations","16"
290,"B000056","","Boruto : Naruto Next Generations, Vol. 17","Kishimoto, Masashi","c2023.","2023.","Boruto : Naruto Next Generations","17"
291,"B000153","","Boruto : Two Blue Vortex, Vol. 1","Kishimoto, Masashi; Ikemoto, Mikio","c2025.","2025.","Boruto: Two Blue Vortex","01"
292,"B000566","","Shoe Dog: A Memoir by the Creator of Nike","Knight, Phil","c2018.","2018.","",""
293,"B000055","","Boruto : Naruto Next Generations, Vol. 18","Kodachi, Ukyo","c2023.","2023.","Boruto : Naruto Next Generations","18"
294,"B000053","","Boruto : Naruto Next Generations, Vol. 19","Kodachi, Ukyo","c2024.","2024.","Boruto : Naruto Next Generations","19"
295,"B000052","","Boruto : Naruto Next Generations, Vol. 20","Kodachi, Ukyo","c2024.","2024.","Boruto : Naruto Next Generations","20"
296,"B000015","","A polar bear in love","Koromo","c2018.","2018.","A Polar Bear in Love","2"
297,"B000018","","A polar bear in love, Vol. 1","Koromo","c2017.","2017.","A Polar Bear in Love","1"
298,"B000072","","Again! vol. 1","Kubo, Mitsurou","c2018.","2018.","Again!","1"
299,"B000177","","The girl from Playa Blanca","Lachtman, Ofelia Dumas","c1995.","1995.","",""
300,"B000253","","The Girl Who Lived Twice : A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series","Lagercrantz, David","c2020., c28.","Jul.","",""
301,"B000567","","Glorious appearing : the end of days","LaHaye, Tim F.","c2004.","2004.","",""
302,"B000367","","Put Your Best Face Forward : The Ultimate Guide to Skincare from Acne to Anti-Aging","Lee, Sandra","c2018.","2018.","",""
303,"B000292","","Tiger Honor (a Thousand Worlds Novel)","Lee, Yoon","c2022.","2022.","",""
304,"B000412","","Everything Explained for the Professional Pilot : Excruciatingly Detailed Explanations of Everything Essential for Every Pilot","Lengel, Richie","c2004.","2004.","",""
305,"B000480","","The horse and his boy","Lewis, C.S.","c1994.","1994.","",""
306,"B000481","","The magician's nephew","Lewis, C.S.","c1994.","1994.","",""
307,"B000478","","Prince Caspian (Narnia)","Lewis, C.S.","c1994., c8.","July.","",""
308,"B000477","","The voyage of the Dawn Treader","Lewis, C.S.","c1994.","1994.","",""
309,"B000497","","Perfect Family : A Novel","Lewis, Pam","c2009.","2009.","",""
310,"B000179","","A spectacle of corruption.","Liss, David","c2004.","2004.","",""
311,"B000199","","Watchmaker's Daughter : The True Story of World War II Heroine Corrie Ten Boom","Loftis, Larry","c2024.","2024.","",""
312,"B000523","","The Memory of Souls","Lyons, Jenn","c06., c2021.","Apr.","",""
313,"B000550","","Assassin's Blade : The Throne of Glass Novellas","Maas, Sarah J.","c2023.","2023.","",""
314,"B000548","","A Court of Thorns and Roses","Maas, Sarah J.","c2020.","2020.","",""
315,"B000289","","Crescent City : House of Earth and Blood","Maas, Sarah J.","c02., c2021.","Mar.","",""
316,"B000298","","Crown of Midnight","Maas, Sarah J.","c02., c2014.","Sep.","",""
317,"B000297","","Heir of Fire","Maas, Sarah J.","c1., c2015.","September.","",""
318,"B000313","","House of Sky and Breath","Maas, Sarah J.","c2023.","2023.","",""
319,"B000366","","House of Sky and Breath","Maas, Sarah J.","c2023.","2023.","",""
320,"B000299","","Kingdom of Ash","Maas, Sarah J.","c2019.","2019.","",""
321,"B000549","","Throne of glass","Maas, Sarah J.","c2013.","2013.","",""
322,"B000230","","Son of a witch : a novel","Maguire, Gregory","c2005.","2005.","",""
323,"B000206","","A Dance With Dragons","Martin, George R. R.","c2011.","2011.","",""
324,"B000271","","Fire & Blood : 300 Years Before A Game of Thrones","Martin, George R. R.","c04., c2020.","Aug.","",""
325,"B000542","","A Game of Thrones : mary","Martin, George R. R.","c2002., c28.","May.","",""
326,"B000329","","De colores means all of us : Latina views for a multi-colored century","MartÌnez, Elizabeth Sutherland","c1998.","1998.","",""
327,"B000569","","The Road","McCarthy, Cormac","c2006.","2006.","",""
328,"B000504","","Thousand pieces of gold : a biographical novel","McCunn, Ruthanne Lum","c1989.","1989.","",""
329,"B000557","","The Facts on File Marine Science Handbook (The Facts on File Science Handbooks)","McCutcheon, Scott","c2003.","May.","",""
330,"B000373","","The food of Mexico : our southern neighbor Mexico","McDaniel, Jan","c2003.","2003.","",""
331,"B000427","","Beautiful Redemption : A Novel","McGuire, Jamie","c2015., c27.","Jan.","",""
332,"B000505","","Comanche moon","McMurtry, Larry","c1998.","1998.","",""
333,"B000510","","Lonesome Dove : a novel","McMurtry, Larry","c2010-06.","2010-06.","",""
334,"B000519","","Streets Of Laredo : A Novel","McMurtry, Larry","c2000.","2000.","",""
335,"B000221","","Sea Stories : My Life in Special Operations","McRaven, William H.","c2020.","2020.","",""
336,"B000291","","Moby Dick","Melville, Herman","c2002.","2002.","",""
337,"B000498","","Beauty for ashes : receiving emotional healing","Meyer, Joyce","c2003.","2003.","",""
338,"B000171","","HuÈsped","Meyer, Stephenie","c2008.","2008.","",""
339,"B000095","","I Cannot Reach You, Vol. 1","Mika","c2021.","2021.","I Cannot Reach You","01"
340,"B000093","","Final Fantasy Lost Stranger, Vol. 10","Minase, Hazuki","c2024.","2024.","Final Fantasy Lost Stranger","10"
341,"B000094","","Final Fantasy Lost Stranger, Vol. 11","Minase, Hazuki","c2024.","2024.","Final Fantasy Lost Stranger","11"
342,"B000091","","High-Rise Invasion Vol. 19-21","Miura, Tsuina","c2021.","2021.","High-Rise Invasion","19-20-21"
343,"B000147","","The Summer Hikaru Died, Vol. 1","Mokumokuren","c2023.","2023.","The Summer Hikaru Died","01"
344,"B000130","","Summer Hikaru Died, Vol. 3","Mokumokuren","c2024.","2024.","Summer Hikaru Died","03"
345,"B000131","","Summer Hikaru Died, Vol. 4","Mokumokuren","c2024.","2024.","The Summer Hikaru Died","04"
346,"B000132","","Summer Hikaru Died, Vol. 5","Mokumokuren; Ajani Oloye (Translator) and Abigail Blackman (Letterer)","c2025.","2025.","The Summer Hikaru Died",""
347,"B000266","","Vegetarian times complete cookbook","Moll, Lucy","c1995.","1995.","",""
348,"B000404","","Edge 2014 a : Student Edition","Moore, David W.","c2013.","2013.","",""
349,"B000447","","I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 3","Morita, Kisetsu","c2018.","2018.","",""
350,"B000446","","I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 4","Morita, Kisetsu","c2019., c23.","Apr.","",""
351,"B000445","","I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 5","Morita, Kisetsu","c2019.","2019.","",""
352,"B000444","","I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 6","Morita, Kisetsu","c2019.","2019.","",""
353,"B000443","","I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 7","Morita, Kisetsu","c2020.","2020.","",""
354,"B000442","","I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 8","Morita, Kisetsu","c2020.","2020.","",""
355,"B000473","","The man in the mirror : solving the 24 problems men face","Morley, Patrick M.","c1997.","1997.","",""
356,"B000342","","The Tattooist of Auschwitz: A Novel","Morris, Heather","c04., c2018.","Sep.","",""
357,"B000514","","Songs in ordinary time","Morris, Mary McGarry","c1996.","1996.","",""
358,"B000080","","Farming Life in Another World 07","Naito, Kinosuke","c2022.","2022.","Farming Life in Another World","07"
359,"B000073","","Farming Life in Another World Volume 01","Naito, Kinosuke","c2020.","2020.","Farming life in another world","1"
360,"B000074","","Farming Life in Another World Volume 02","Naito, Kinosuke","c2021.","2021.","Farming Life in Another World","02"
361,"B000076","","Farming Life in Another World Volume 03","Naito, Kinosuke","c2021.","2021.","Farming Life in Another World","03"
362,"B000077","","Farming Life in Another World Volume 04","Naito, Kinosuke","c2022.","2022.","Farming Life in Another World","04"
363,"B000078","","Farming Life in Another World Volume 05","Naito, Kinosuke","c2022.","2022.","Farming Life in Another World","05"
364,"B000079","","Farming Life in Another World Volume 06","Naito, Kinosuke","c2022.","2022.","Farming Life in Another World","06"
365,"B000050","","Barefoot Gen Vol. 5: The Never-Ending War","Nakazawa, Keiji","c2007.","2007.","Barefoot Gen","5"
366,"B000048","","Barefoot Gen Volume 4 : Hardcover Edition","Nakazawa, Keiji","c2016.","2016.","Barefoot Gen","4"
367,"B000049","","Barefoot Gen, Volume 6: Writing the Truth.","Nakazawa, Keiji","c2008.","2008.","Barefoot Gen","6"
368,"B000432","","It's all in the frijoles : 100 famous Latinos share real-life stories, time-tested dichos, favorite folktales, and inspiring words of wisdom","Nava, Yolanda","c2000.","2000.","",""
369,"B000361","","Survive","Nazarian, Vera","c2020.","2020.","",""
370,"B000362","","Autonomous : A Novel","Newitz, Annalee","c04., c2018.","Sep.","",""
371,"B000024","","Golden kamuy Vol. 1","Noda, Satoru","c2017.","2017.","Golden Kamuy","1"
372,"B000027","","Golden Kamuy vol.4","Noda, Satoru","c2018.","2018.","Golden Kamuy","4"
373,"B000028","","Golden Kamuy vol.5","Noda, Satoru","c2018.","2018.","Golden Kamuy","5"
374,"B000025","","Golden kamuy, Vol. 2","Noda, Satoru","c2017.","2017.","Golden Kamuy","2"
375,"B000026","","Golden kamuy, Vol. 3","Noda, Satoru","c2017.","2017.","Golden Kamuy","3"
376,"B000285","","Prodigal Genius : The Life of Nikola Tesla","O'Neill, John J.","c1., c2006.","November.","",""
377,"B000403","","We were the Mulvaneys","Oates, Joyce Carol","c1997.","1997.","",""
378,"B000568","","The tiger's wife : a novel","Obreht, TÈa","c2011.","2011.","",""
379,"B000096","","Bakuman, Volume 2","Ohba, Tsugumi","c2010.","2010.","Bakuman","02"
380,"B000098","","Bakuman, Volume 3","Ohba, Tsugumi","c2011.","2011.","Bakuman","03"
381,"B000041","","Death Note How to Read 13","Ohba, Tsugumi","c2008.","2008.","Death Note","HTR"
382,"B000046","","Platinum end Vol. 1","Ohba, Tsugumi","c2016.","2016.","Platinum End","1"
383,"B000149","","Bakuman Volume 1","Ohba, Tsugumi and Takeshi Obata","c2010.","2010.","Bakuman","01"
384,"B000141","","Death Note Short Stories","Ohba, Tsugumi; Takeshi Obata (Illustrator)","c2022.","2022.","Death Note","SS"
385,"B000066","","To Your Eternity 2","Oima, Yoshitoki","c2017.","2017.","To Your Eternity","2"
386,"B000064","","To Your Eternity 3","Oima, Yoshitoki","c2018.","2018.","To Your Eternity","3"
387,"B000065","","To Your Eternity 4","Oima, Yoshitoki","c2018.","2018.","To Your Eternity","4"
388,"B000067","","To Your Eternity 5","Oima, Yoshitoki","c2018.","2018.","To Your Eternity","5"
389,"B000142","","To Your Eternity, Vol. 1","Oima, Yoshitoki","c2017.","2017.","To Your Eternity","01"
390,"B000148","","Mob Psycho 100 Volume 1","ONE","c2018.","2018.","MOB Psycho 100","01"
391,"B000030","","Mob Psycho 100 Volume 11","ONE","c2023.","2023.","MOB Psycho 100","11"
392,"B000031","","Mob Psycho 100 Volume 12","ONE","c2023.","2023.","MOB Psycho 100","12"
393,"B000033","","Mob Psycho 100 Volume 13","ONE","c2024.","2024.","MOB Psycho 100","13"
394,"B000034","","Mob Psycho 100 Volume 14","ONE","c2024.","2024.","MOB Psycho 100","14"
395,"B000029","","One-Punch Man, Vol. 28","ONE","c2024--21.","2024-May-21.","One Punch Man","28"
396,"B000032","","One-Punch Man, Vol. 29","ONE","c2024.","2024.","One Punch Man","29"
397,"B000351","","College Algebra","OpenStax","c13., c2015.","Feb.","",""
398,"B000088","","Blood on the Tracks 17","Oshimi, Shuzo","c2024.","2024.","Blood on the tracks","17"
399,"B000044","","Toxic Daughter : Chi-Chan","Oshimi, Shuzo","c2025.","2025.","",""
400,"B000371","","Restless Spirit : The Life and Work of Dorothea Lange","Partridge, Elizabeth","c1., c2001.","October.","",""
401,"B000232","","State of Wonder : Target Edition","Patchett, Ann","c01., c2012.","Feb.","",""
402,"B000380","","4th of July","Patterson, James","c2009.","2009.","",""
403,"B000242","","The 13-Minute Murder","Patterson, James","c16., c2019.","Apr.","",""
404,"B000376","","23 1/2 Lies","Patterson, James","c2023.","2023.","",""
405,"B000197","","The beach house","Patterson, James","c2003-04.","2003-04.","",""
406,"B000294","","The Coast-to-Coast Murders","Patterson, James","c18., c2021.","May.","",""
407,"B000183","","Jack & Jill","Patterson, James","c1997-11.","1997-11.","",""
408,"B000267","","The Kiss","Patterson, James","c2013-11.","2013-11.","",""
409,"B000378","","Lies He Told Me : The Most Surprising Suspense Novel since Gone Girl","Patterson, James","c2024.","2024.","",""
410,"B000288","","The Lost (Witch & Wizard)","Patterson, James","c10., c2015.","Nov.","",""
411,"B000375","","Obsessed : A Psychological Thriller","Patterson, James","c2024.","2024.","",""
412,"B000244","","The Palm Beach Murders","Patterson, James","c2021-03.","2021-03.","",""
413,"B000374","","Summer House","Patterson, James","c2022.","2022.","",""
414,"B000302","","Unsolved","Patterson, James","c2020.","2020.","",""
415,"B000440","","El bien y el mal : sacrificio, guerra, tentaciÛn, traiciÛn, esperanza, redenciÛn","Pearl, Michael","c2008.","2008.","",""
416,"B000441","","Good and evil : the ultimate comic book action Bible","Pearl, Michael","c2016.","2016.","",""
417,"B000247","","Pax","Pennypacker, Sara","c02., c2019.","Apr.","",""
418,"B000222","","Prophet","Peretti, Frank E.","c2003.","March1.","",""
419,"B000205","","North! or Be Eaten : The Wingfeather Saga Book 2","Peterson, Andrew","c2024.","2024.","",""
420,"B000204","","On the Edge of the Dark Sea of Darkness : The Wingfeather Saga Book 1","Peterson, Andrew","c16., c2023.","May.","",""
421,"B000386","","Grief One Day at a Time : 365 Meditations to Help You Heal After Loss","Ph.D, Alan D. Wolfelt","c18., c2016.","Apr.","",""
422,"B000335","","In the heart of the sea : The tragedy of the whaleship Essex.","Philbrick, Nathaniel","c2000.","2000.","",""
423,"B000370","","Let It Shine : Stories of Black Women Freedom Fighters","Pinkney, Andrea Davis","c2013.","2013.","",""
424,"B000457","","Chiwaukee Nights","Plamann, Cale","c2022.","2022.","",""
425,"B000521","","Annals of the Heechee (Heechee Saga, Book 4)","Pohl, Frederik","c12., c1988.","April.","",""
426,"B000210","","The gateway trip : tales and vignettes of the Heechee","Pohl, Frederik","c1990.","1990.","",""
427,"B000268","","The gateway trip : tales and vignettes of the Heechee","Pohl, Frederik","c1990.","1990.","",""
428,"B000359","","Don't shoot the dog! : the new art of teaching and training","Pryor, Karen","c1999.","1999.","",""
429,"B000417","","Beginner's Step-By-Step Coding Course: Learn Computer Programming the Easy Way","Publishing, DK","c2020.","2020.","",""
430,"B000472","","The Golden Compass","Pullman, Philip","c2002-09.","2002-09.","",""
431,"B000512","","Mac's Land : A Sequel to Mac's Way","Quist, Reg","c2018., c29.","May.","",""
432,"B000520","","Rough Road to Redemption","Quist, Reg","c2020.","2020.","",""
433,"B000328","","Don Benito Wilson : from mountain man to mayor, Los Angeles, 1841 to 1878","Read, Nat B.","c2008.","2008.","",""
434,"B000320","","Change order","Reiff, Tana","c2013.","2013.","",""
435,"B000387","","Chasm City","Reynolds, Alastair","c2003.","2003.","",""
436,"B000156","","Permafrost","Reynolds, Alastair","c2019.","2019.","",""
437,"B000314","","The Prefect","Reynolds, Alastair","c2009., c26.","May.","",""
438,"B000224","","Revelation space","Reynolds, Alastair","c2000.","2000.","",""
439,"B000248","","Shadow Captain","Reynolds, Alastair","c2019.","2019.","",""
440,"B000180","","Slow bullets","Reynolds, Alastair","c2015.","2015.","",""
441,"B000257","","The Atlantis Gene : A Thriller","Riddle, A. G.","c2013.","2013.","",""
442,"B000225","","Genome (The Extinction Files Book 2)","Riddle, A. G.","c15., c2017.","Nov.","",""
443,"B000495","","Miss Peregrine's Home for Peculiar Children","Riggs, Ransom","c., c2013.","4.","",""
444,"B000564","","The Red Bandanna (Young Readers Adaptation)","Rinaldi, Tom","c05., c2017.","Sep.","",""
445,"B000240","","The Battle of the Labyrinth","Riordan, Rick","c2009.","2009.","",""
446,"B000307","","The House of Hades","Riordan, Rick","c2013.","2013.","",""
447,"B000241","","The Last Olympian","Riordan, Rick","c2011.","2011.","",""
448,"B000237","","The Lightning Thief","Riordan, Rick","c2006.","2006.","",""
449,"B000312","","The Lost Hero","Riordan, Rick","c2012.","2012.","",""
450,"B000323","","The Lost Hero","Riordan, Rick","c2010-10.","2010-10.","",""
451,"B000547","","The Lost Hero","Riordan, Rick","c2010-10.","2010-10.","",""
452,"B000238","","The Sea of Monsters","Riordan, Rick","c2007.","2007.","",""
453,"B000239","","The Titan's Curse","Riordan, Rick","c2008.","2008.","",""
454,"B000369","","Introduction to Sociology","Ritzer, George","c2019.","2019.","",""
455,"B000424","","Introduction to Sociology","Ritzer, George","c2019.","2019.","",""
456,"B000246","","Shaman","Robinson, Kim Stanley","c10., c2014.","Jun.","",""
457,"B000159","","Keeping It Real (Quantum Gravity, Book 1)","Robson, Justina","c2007.","2007.","Quantum Gravity","01"
458,"B000539","","Keeping It Real (Quantum Gravity, Book 1)","Robson, Justina","c2007.","2007.","Quantum Gravity","01"
459,"B000327","","A Dictionary Of Human Geography","Rogers, Alisdair","c2013.","2013.","",""
460,"B000169","","Nonviolent communication : a language of life","Rosenberg, Marshall B.","c2015.","2015.","",""
461,"B000518","","Swords Around the Throne : Twilight of Empire : Book Two","Ross, Ian James","c2017.","2017.","",""
462,"B000273","","Tom Clancy's Op-Center : Dark Zone","Rovin, Jeff","c2018., c28.","Aug.","",""
463,"B000350","","Compact Cabins","Rowan, Gerald","c2010.","2010.","",""
464,"B000360","","Harry Potter and the Deathly Hallows - Ravenclaw Edition","Rowling, J. K.","c2021.","2021.","",""
465,"B000157","","Dungeon Slayer : A LitRPG Level-Up Adventure","Ryan, Konrad","c2020.","2020.","The Dungeon Slayer Series","1"
466,"B000083","","Trinity Seven, Vol. 1 : The Seven Magicians - manga","Saitou, Kenji","c2015.","Jun.","Trinity Seven: The Seven Magicians","01"
467,"B000084","","Trinity Seven, Vol. 2 : The Seven Magicians - manga","Saitou, Kenji","c2015.","2015.","Trinity Seven","02"
468,"B000085","","Trinity Seven, Vol. 3 : The Seven Magicians - manga","Saitou, Kenji","c2015.","2015.","Trinity Seven","03"
469,"B000086","","Trinity Seven, Vol. 4 : The Seven Magicians","Saitou, Kenji","c2016.","2016.","Trinity Seven","04"
470,"B000136","","Rooster Fighter, Vol. 2","Sakuratani, Shu","c2022.","2022.","Rooster Fighter","2"
471,"B000137","","Rooster Fighter, Vol. 5","Sakuratani, Shu","c2023.","2023.","Rooster Fighter","5"
472,"B000138","","Rooster Fighter, Vol. 6","Sakuratani, Shu","c2024.","2024.","Rooster Fighter","06"
473,"B000139","","Rooster Fighter, Vol. 7","Sakuratani, Shu","c2025.","2025.","Rooster Fighter","07"
474,"B000261","","Dungeons and Dragons : Exile : Book 2 of the Dark Elf Trilogy; New York Times Bestselling Author","Salvatore, R. A.","c2024.","2024.","",""
475,"B000388","","The Legacy","Salvatore, R. A.","c1., c2008.","April.","",""
476,"B000300","","Passage to Dawn : Dungeons and Dragons : Book 4 of the Legacy of the Drow Series","Salvatore, R. A.","c2025.","2025.","",""
477,"B000301","","Siege of Darkness : Dungeons and Dragons : Book 3 of the Legacy of the Drow Series","Salvatore, R. A.","c2025.","2025.","",""
478,"B000491","","Sojourn","Salvatore, R. A.","c13., c2006.","June.","",""
479,"B000087","","For the Kid I Saw in My Dreams, Vol. 1","Sanbe, Kei","c2019.","2019.","For the Kid I Saw in My Dreams,","01"
480,"B000124","","Erased, Vol. 3","Sanbe, Kei; Drzka, Sheldon; Blackman, Abigail","c2017.","2017.","Erased","3"
481,"B000125","","Erased, Vol. 3","Sanbe, Kei; Drzka, Sheldon; Blackman, Abigail","c2017.","2017.","Erased","3"
482,"B000126","","Erased, Vol. 4","Sanbe, Kei; Drzka, Sheldon; Blackman, Abigail","c2018.","2018.","Erased","4"
483,"B000546","","Mistborn : the final empire","Sanderson, Brandon","c2008.","2008.","",""
484,"B000254","","Oathbringer: Book Three of the Stormlight Archive","Sanderson, Brandon","c2018., c30.","Oct.","",""
485,"B000170","","Rhythm of War","Sanderson, Brandon","c2021.","Oct.","",""
486,"B000214","","Rhythm of War","Sanderson, Brandon","c2021.","Oct.","",""
487,"B000551","","Rhythm of War","Sanderson, Brandon","c2021.","Oct.","",""
488,"B000185","","The Way of Kings","Sanderson, Brandon","c2014., c4.","March.","",""
489,"B000186","","Words of Radiance : Book Two of the Stormlight Archive","Sanderson, Brandon","c2017.","2017.","",""
490,"B000545","","Deadline","Sandford, John","c2015.","2015.","",""
491,"B000555","","Holy Ghost","Sandford, John","c2019., c24.","Sep.","",""
492,"B000377","","Bored Gay Werewolf","Santorella, Tony","c2023.","2023.","",""
493,"B000482","","Sword of Destiny","Sapkowski, Andrzej","c1992.","1992.","",""
494,"B000356","","Hidden in Plain Sight : Beyond the X-Files","Sauder, Richard","c2021.","2021.","",""
495,"B000393","","Starplex","Sawyer, Robert J.","c1996.","1996.","",""
496,"B000200","","The alchemyst : the secrets of the immortal Nicholas Flamel","Scott, Michael","c2007.","2007.","",""
497,"B000201","","The Magician (The Secrets of the Immortal Nicholas Flamel)","Scott, Michael","c2009., c28.","April.","",""
498,"B000203","","Nicholas Flamel 4 Necromancer","Scott, Michael","c2011.","2011.","",""
499,"B000202","","The Sorceress (The Secrets of the Immortal Nicholas Flamel)","Scott, Michael","c2010., c27.","April.","",""
500,"B000544","","The lovely bones : a novel","Sebold, Alice","c2009.","2009.","",""
501,"B000554","","Writing my wrongs : life, death, and redemption in an American prison","Senghor, Shaka","c2016.","2016.","",""
502,"B000437","","Chicana falsa, and other stories of death, identity, and Oxnard","Serros, Michele M.","c1998.","1998.","",""
503,"B000090","","Nura : rise of the Yokai clan : vol. 24","Shiibashi, Hiroshi","c2014.","2014.","Nura: Rise of the Yokai Clan","24"
504,"B000089","","Nura : rise of the Yokai clan : vol. 25","Shiibashi, Hiroshi","c2015.","2015.","Nura, rise of the yokai clan","25"
505,"B000081","","Your name., Vol. 2","Shinkai. Makoto","c2017.","2017.","Your name","02"
506,"B000151","","Tokyo Alien Bros. , Vol. 1","Shinzo, Keigo","c2025.","2025.","Tokyo Alien Bros.","01"
507,"B000075","","Tokyo Alien Bros., Vol. 2","Shinzo, Keigo","c2025.","2025.","Tokyo Alien Bros.","02"
508,"B000499","","The Forgotten Man : A New History of the Great Depression","Shlaes, Amity","c2008., c6.","May.","",""
509,"B000082","","Welcome Back, Alice 4","Shuzo, Oshimi","c2022.","2022.","Welcome Back, Alice","04"
510,"B000310","","The Cellist : A Novel","Silva, Daniel","c2022., c22.","Feb.","",""
511,"B000385","","Portrait of an Unknown Woman","Silva, Daniel","c2023.","2023.","",""
512,"B000494","","Mary Coin","Silver, Marisa","c2013.","2013.","",""
513,"B000420","","Warlock : The Egyptian Series 3","Smith, Wilbur","c2018.","2018.","",""
514,"B000401","","NW","Smith, Zadie","c2013., c27.","Aug.","",""
515,"B000346","","Magic User : Reborn in Another World as a Max Level Wizard  Vol. 3 )","Souhei, Mikawa","c10., c2020.","Nov.","",""
516,"B000343","","Haircutting for dummies","Spear, J. Elaine","c2002.","2002.","",""
517,"B000474","","Eat safe : the truth about food additives from aspartame to xanthan gum","Statham, Bill","c2008.","2008.","",""
518,"B000338","","Occupational Outlook Handbook, 2020-2021","Statistics, Bureau of Labor","c2019.","2019.","",""
519,"B000397","","Of Mice and Men","Steinbeck, John","c1993.","1993.","",""
520,"B000277","","The diamond age","Stephenson, Neal","c2000.","2000.","",""
521,"B000344","","Woodworking for dummies","Strong, Jeff","c2004.","2004.","",""
522,"B000218","","Comedy Wildlife Photography Awards Vol. 2","Sullam, Paul Joynson-Hicks & Tom","c2018.","2018.","",""
523,"B000068","","Centaurs Vol 1","Sumiyoshi, Ryo","c2023.","2023.","Centaurs","1"
524,"B000069","","Centaurs Vol 3","Sumiyoshi, Ryo","c2024.","2024.","Centaurs","3"
525,"B000071","","Orange : the complete collection 1-2-3","Takano, Ichigo","c2016.","2016.","Orange","1-2-3"
526,"B000398","","Summit","Taylor, Charles","c1., c1996.","August.","",""
527,"B000260","","Not Till We Are Lost","Taylor, Dennis E.","c16012025.","16012025.","",""
528,"B000269","","Expert System's Champion","Tchaikovsky, Adrian","c2021.","2021.","",""
529,"B000409","","Machine Learning For Absolute Beginners : A Plain English Introduction","Theobald, Oliver","c01., c2018.","Jan.","",""
530,"B000421","","Everyday Saints and Other Stories","Tikhon, Archimandrite","c09., c2012.","Nov.","",""
531,"B000406","","Magic the Gathering : Advanced Strategy Guide : For Advanced and Expert Magic Players","Tim, Moursund, Beth/ Justice, Mark/ Dedopulos,","","","",""
532,"B000163","","The Genius Prince's Guide to Raising a Nation Out of Debt (Hey How About Treason?), Vol. 3","Toba, Toru","c2020.","2020.","",""
533,"B000164","","The Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 4","Toba, Toru","c2020.","2020.","",""
534,"B000165","","The Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 5","Toba, Toru","c2020.","2020.","",""
535,"B000166","","The Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 6","Toba, Toru","c2021.","2021.","",""
536,"B000167","","The Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 7","Toba, Toru","c2021.","2021.","",""
537,"B000168","","Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How about Treason?), Vol. 8 (light Novel)","Toba, Toru","c2021.","2021.","",""
538,"B000161","","The Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 1","Toba, Toru; Lange, Jessica; Falmaro","c2019.","2019.","The Genius Princeís Guide to Raising a Nation Out of Debt (Hey, How About Treason?)","1"
539,"B000162","","The Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 2","Toba, Toru; Lange, Jessica; Falmaro","c2019.","2019.","The Genius Princeís Guide to Raising a Nation Out of Debt (Hey, How About Treason?)","02"
540,"B000181","","The power of now : a guide to spiritual enlightenment","Tolle, Eckhart","c2004.","2004.","",""
541,"B000182","","Trauma-Informed Approach to Library Services","Tolley, Rebecca","c2020.","2020.","",""
542,"B000503","","Who I Am : A Memoir","Townshend, Pete","c06., c2013.","Aug.","",""
543,"B000231","","The era of uncertainty : global investment strategies for inflation, deflation, and the middle ground","Trahan, Francois","c2011.","2011.","",""
544,"B000496","","The Samurai's garden","Tsukiyama, Gail","c1996.","1996.","",""
545,"B000122","","20th Century Boys : The Perfect Edition, Vol. 1","Urasawa, Naoki","c2018.","2018.","20th Century Boys: The Perfect Edition","1"
546,"B000332","","Rain of Gold","Villasenor, Victor","c2015., c31.","Mar.","",""
547,"B000345","","Tattoos and Tequila : To Hell and Back with One of Rock's Most Notorious Frontmen","Vince, Neil","c2010.","2010.","",""
548,"B000382","","The Purpose Driven Life : What on Earth am I Here for?","Warren, Rick","c2011-05-07.","2011-05-07.","",""
